id,name,year,number_of_contributions,cnum
1357486,38th International Conference on High Energy Physics,2016,653,C16-08-03
1677252,40th International Conference on High Energy Physics,2020,565,C20-07-30
1773388,64th DAE BRNS Symposium on nuclear physics,2019,533,C19-12-23
2011471,65th DAE BRNS Symposium on nuclear physics,2021,352,C21-12-01.1
1382888,27th International Conference on Neutrino Physics and Astrophysics,2016,252,C16-07-04.2
1383018,24th International Workshop on Deep-Inelastic Scattering and Related Subjects,2016,205,C16-04-11
1774220,28th International Conference on Ultrarelativistic Nucleus-Nucleus Collisions,2019,200,C19-11-04.1
2662777,19th Annual Meeting of the Particle Accelerator Society of Japan,2022,192,C22-10-18.1
1369263,37th International Free Electron Laser Conference,2015,179,C15-08-23.1
1357483,12th International Conference on Nucleus-Nucleus Collisions,2015,158,C15-06-21.1
1369181,4th International Beam Instrumentation Conference,2015,144,C15-09-13.2
1382691,14th Vienna Conference on Instrumentation,2016,128,C16-02-15
1357489,21st International Conference on Few-Body Problems in Physics,2015,123,C15-05-18.5
1407885,12th International Conference on Hypernuclear and Strange Particle Physics,2015,122,C15-09-07.6
1357495,4th International Conference on New Frontiers in Physics,2015,113,C15-08-23
1369259,Topical Workshop on Electronics for Particle Physics,2015,112,C15-09-28
1774381,3rd International Symposium on Science at J-PARC,2019,110,C19-09-23.6
1768135,19th Lomonosov Conference on Elementary Particle Physics,2019,100,C19-08-22
1975947,11th Mechanical Engineering Design of Synchrotron Radiation Equipment and Instrumentation,2021,94,C21-07-26.4
1357478,17th Lomonosov Conference on Elementary Particle Physics,2015,93,C15-08-20
1677992,61st ICFA Advanced Beam Dynamics Workshop on High-Intensity and High-Brightness Hadron Beams,2018,89,C18-06-17.1
1774214,International Bogolyubov Conference Problems of Theoretical and Mathematical Physics,2019,81,C19-09-09.6
1677071,53rd Rencontres de Moriond on Cosmology,2018,81,C18-03-17.1
1955236,Topical Workshop on Electronics for Particle Physics,2021,80,C21-09-20.8
1384629,17th International Workshop on Advanced Computing and Analysis Techniques in Physics Research,2016,78,C16-01-18.1
1413148,7th Very Large Volume Neutrino Telescope Workshop,2015,78,C15-09-14.6
1976037,16th International Symposium on Nuclei in the Cosmos,2021,76,C21-09-21.1
1762664,21st International Workshop on Neutrinos from Accelerators,2019,72,C19-08-26.4
1681520,17th Incontri di Fisica delle Alte Energie,2018,72,C18-04-04.3
1376980,10th International Workshop on the Physics of Excited Nucleons,2015,70,C15-05-25.5
1386356,24th Conference on High Energy Physics,2015,67,C15-04-08.1
1768131,4th European Advanced Accelerator Concepts Workshop,2019,67,C19-09-15.4
1992413,2021 IEEE Nuclear Science Symposium (NSS) and Medical Imaging Conference (MIC) and 28th International Symposium on Room-Temperature Semiconductor Detectors,2021,66,C21-10-16.1
2005422,2021 IEEE International Conference on Quantum Computing and Engineering,2021,66,C21-10-17.1
2646346,SPIE Photonics West,2023,60,C23-01-28
1375351,16th International Workshop on Neutrino Telescopes,2015,59,C15-03-02.3
1384024,7th International Workshop on Multiple Partonic Interactions at the LHC,2015,56,C15-11-23
2630390,108th Congresso Nazionale della Societa Italiana di Fisica,2022,56,C22-09-12.12
1407243,8th International Workshop on Semiconductor Pixel Detectors for Particles and Imaging,2016,55,C16-09-05.3
1957645,17th Conference on Nuclear Physics in China,2019,53,C19-10-08.1
1989691,14th International Workshop on Lie Theory and Its Applications in Physics,2021,53,C21-06-20.3
1764032,15th International Symposium on Radiative Corrections: Applications of Quantum Field Theory to Phenomenology AND LoopFest XIX: Workshop on Radiative Corrections for the LHC and Future Colliders,2021,53,C21-05-16
1677074,14th Workshop on Resistive Plate Chambers and Related Detectors,2018,51,C18-02-19.3
1415166,8th International Workshop on QCD - Theory and Experiment,2016,50,C16-06-27.3
1370569,34th Mazurian Lakes Conference on Physics,2015,49,C15-09-06
2630046,"Spacetime, Matter, Quantum Mechanics",2022,49,C22-09-19.12
1385247,30th Rencontres de Physique de La Vallée d'Aoste,2016,48,C16-03-06.1
2079305,Diffraction and Low-x 2022,2022,48,C22-09-24
1377452,12th International Conference on Low Energy Antiproton Physics,2016,47,C16-03-06
1386780,"12th International Conference on Beauty, Charm, and Hyperons in Hadronic Interactions",2016,46,C16-06-12
2637077,2nd Electronic Conference on Universe,2023,46,C23-02-16
1958404,16th China National Conference on Nuclear Physics,2016,45,C16-10-19.2
1384389,13th International Conference on Heavy Quarks and Leptons,2016,44,C16-05-22
1776769,24th International Scientific Conference of Young Scientists and Specialists,2020,44,C20-04-13.2
1778231,14th International Conference on Heavy Ion Accelerator Technology,2018,44,C18-10-22.7
1766251,9th Nuclear Physics in Astrophysics,2019,43,C19-09-15.3
1765903,13th International Workshop on Lie Theory and Its Applications in Physics,2019,42,C19-06-17.6
1776831,8th Evian Workshop on LHC beam operation,2017,42,C17-12-12.1
1384577,Gribov-85 Memorial Workshop on Theoretical Physics of XXI Century,2015,40,C15-06-17.2
1765905,21st International Workshop on Radiation Imaging Detectors,2019,40,C19-07-07.2
1764779,36th Mazurian Lakes Conference on Physics,2019,39,C19-09-01.3
2645122,Zakopane Conference on Nuclear Physics Extremes of the Nuclear Landscape,2022,39,C22-08-28.6
1411277,19th High-Energy Physics International Conference in Quantum Chromodynamics,2016,38,C16-07-04.3
1778269,23rd High-Energy Physics International Conference in Quantum Chromodynamics,2020,37,C20-07-07
1375350,4th International Conference on Advancements in Nuclear Instrumentation Measurement Methods and their Applications,2015,36,C15-04-20.3
1385195,4th FAIR NExt generation ScientistS,2016,36,C16-02-14.1
2665027,2023  Optical Fiber Communications Conference and Exhibition,2023,36,C23-03-05.1
1370516,"7th International Winter Workshop ""Excited QCD"" 2015",2015,35,C15-03-08
1357484,9th Joint International Hadron Structure '15 Conference,2015,35,C15-06-29.6
1776369,10th European Summer School on Experimental Nuclear Astrophysics,2019,35,C19-06-16.2
1411366,International Wokshop on Strong Field Problems in Quantum Theory,2016,35,C16-06-06.1
1382867,9th International Physics Conference of the Balkan Physical Union,2015,34,C15-08-24.3
2073618,28th Cracow EPIPHANY Conference on Recent Advances in Astroparticle Physics,2022,34,C22-01-10.5
2665539,Workshop on Polarized Sources Targets and Polarimetry 2022,2022,34,C22-09-26.7
1409580,13th International Symposium on Origin of Matter and Evolution of the Galaxies,2015,33,C15-06-24.5
2632633,29th Cracow Epiphany Conference on Physics at the Electron-Ion Collider and Future Facilities,2023,32,C23-01-16
1680336,9th European Summer School on Experimental Nuclear Astrophysics,2017,32,C17-09-17.2
1939199,56th Rencontres de Moriond  on QCD and High Energy Interactions ,2022,31,C22-03-19
2647550,13th International Spring Seminar on Nuclear Physics Perspectives and Challenges in Nuclear Structure after 70 Years of Shell Model,2022,31,C22-04-14
2631257,11th European Summer School on Experimental Nuclear Astrophysics,2022,31,C22-06-12
1411368,Physics Prospects for Linear and other Future Colliders after the Discovery of the Higgs,2015,31,C15-09-07.7
1408817,11th International Workshop on Lie Theory and Its Applications in Physics,2015,30,C15-06-15.6
1386354,Matrix Elements for the Double-beta-decay EXperiments,2015,29,C15-06-09
1939198,56th Rencontres de Moriond on Electroweak Interactions and Unified Theories,2022,29,C22-03-12
2009424,8th Topical Workshop on Low Radioactivity Techniques,2022,29,C22-06-13.2
2085610,8th Conference of the Polish Society on Relativity,2022,29,C22-09-19.6
1412256,2nd ICRANet CÉSAR LATTES MEETING,2015,29,C15-04-13.5
